in01	in02	in03	in04	in05	in06	in07	in08	in09	in10	in11	in12	in13	in14	in15	in16	in17	Class
white	0.0091	0.1	0.03	0.04	7.2	0.25	0.39	very sweet	0.038	42	155	0.9999	2.97	0.47	low	12.2	no
white	0.0028	0.04	0.02	0.04	7.3	0.32	0.34	sweet	0.032	24	112	0.99505	3.22	0.46	low	26.27	no
white	0.0024	0.06	0.02	0.06	8.2	0.35	0.4	sweet	0.039	35	162	0.9936	3.15	0.34	standard	28.81	yes
white	0.0084	0.09	0.08	0.04	5.9	0.2	0.28	very sweet	0.038	29	132	0.99426	3.31	0.57	standard	16.21	yes
white	0.002	0.04	0.03	0.06	9.1	0.27	0.32	very low	0.031	15	151	0.9936	3.03	0.41	med	22.69	no
red	0.054	0.2	0.2	0.25	9.1	0.52	0.33	very low	0.07	9	30	0.9978	3.24	0.6	low	10.4	no
white	0.0052	0.02	0.02	0.02	5.8	0.27	0.27	very sweet	0.045	55	170	0.9972	3.28	0.42	low	26.02	no
white	0.0043	0.03	0.08	0.03	7	0.2	0.49	med	0.038	39	128	0.9938	3.21	0.48	med	19.22	no
white	0.0078	0.03	0.03	0.05	6.4	0.35	0.21	low	0.051	46	171	0.9932	3.16	0.5	low	13.66	no
red	0.04	0.31	0.5	0.12	8.4	0.59	0.29	low	0.109	31	119	0.99801	3.15	0.5	low	49.87	no
white	0.0075	0.06	0.08	0.01	5.8	0.28	0.27	low	0.054	30	156	0.9914	3.53	0.42	standard	28.66	no
white	0.0082	0.06	0.06	0.04	7.2	0.16	0.49	very low	0.037	27	104	0.9924	3.23	0.57	med	12.88	no
white	0.0083	0.07	0.07	0.01	6.5	0.37	0.3	low	0.033	39	107	0.98894	3.22	0.53	high	20.16	yes
white	0.0011	0.06	0.07	0.03	6	0.33	0.2	very low	0.031	49	159	0.9919	3.41	0.53	med	20.08	no
white	0.0056	0.04	0.01	0.03	5.6	0.18	0.31	very low	0.038	16	84	0.9924	3.34	0.58	med	27.26	no
white	0.0046	0.02	0.05	0.02	8.4	0.31	0.31	very low	0.021	52	148	0.99038	2.93	0.32	standard	15.45	no
white	0.0097	0.02	0.06	0.06	6.7	0.18	0.3	sweet	0.048	40	251	0.9956	3.29	0.52	med	26.64	no
white	0.0049	0.06	0.05	0.06	6.4	0.42	0.74	very sweet	0.076	48	209	0.9978	3.12	0.58	low	23.37	no
white	0.01	0.01	0.07	0.04	6.5	0.23	0.39	very low	0.036	41	98	0.99	3.19	0.43	standard	13.18	yes
white	7e-4	0.03	0.03	0.04	8	0.26	0.36	low	0.054	30	121	0.992	3.09	0.72	standard	12.43	yes
white	0.0039	0.07	0.04	0.04	6.8	0.14	0.35	very low	0.047	40	117	0.99111	3.07	0.72	med	16.68	no
white	0.0039	0.07	0.03	0.04	7.8	0.21	0.34	very sweet	0.039	55	140	0.9959	3.02	0.31	med	14.92	no
white	0.0067	0.02	0.07	0.05	5	0.44	0.04	very sweet	0.039	38	128	0.9985	3.37	0.57	med	24.96	no
red	0.063	0.5	0.63	0.17	7	0.65	0.02	low	0.066	8	25	0.9972	3.47	0.67	low	37.69	no
white	0.0023	0.09	0.01	0.03	6.4	0.22	0.32	very sweet	0.066	57	158	0.9992	3.6	0.43	low	19.29	no
red	0.047	0.31	0.62	0.12	7.4	0.66	0	very low	0.075	13	40	0.9978	3.51	0.56	low	26.43	no
white	0.0052	0.09	0.01	0.01	7	0.28	0.33	very sweet	0.043	47	168	0.9994	3.34	0.67	low	20.4	no
white	0.003	0.1	0.08	0.03	6.7	0.19	0.39	very low	0.032	14	71	0.98912	3.31	0.38	standard	25.87	yes
white	3e-4	0.03	0.02	0.02	6.6	0.16	0.36	very low	0.031	27	93	0.98884	3.23	0.34	standard	17.29	yes
white	0.003	0.01	0.08	0.01	7	0.31	0.35	very low	0.063	13	119	0.99184	3.22	0.5	med	17.18	no
white	0.0059	0.06	0.04	0.04	5.8	0.2	0.27	very low	0.031	12	77	0.9905	3.25	0.36	med	14.43	yes
white	0.0051	0.07	0.03	0.02	7.4	0.29	0.28	very sweet	0.032	43	138	0.9951	3.1	0.47	med	18.32	no
red	0.045	0.24	0.63	0.2	8.7	0.52	0.09	low	0.091	20	49	0.9976	3.34	0.86	med	22.41	yes
white	0.0043	0.05	0.04	0.03	7.3	0.24	0.34	sweet	0.048	29	152	0.9962	3.1	0.54	low	12.12	no
white	0.0083	0.04	0.05	0.04	7.8	0.19	0.32	sweet	0.015	47	124	0.99278	2.99	0.39	med	21.08	no
white	0.005	0.03	0.07	0.05	6.2	0.22	0.3	very sweet	0.054	108	152	0.99728000000000006	3.1	0.47	low	14.88	no
white	0.01	0.02	0.06	0.05	7.5	0.32	0.24	med	0.053	8	134	0.9958	3.14	0.5	low	27.06	no
white	0.01	0.04	0.06	0.03	7.2	0.23	0.39	very sweet	0.058	49	192	0.9979	2.98	0.48	low	27.47	yes
white	0.0039	0.03	0.03	0.04	6.8	0.32	0.34	sweet	0.05	5	129	0.9953	3.19	0.4	low	13.24	no
white	0.0079	0.01	0.03	0.06	7	0.16	0.32	very sweet	0.045	38	126	0.9958	3.21	0.34	low	19.58	no
white	0.0017	0.05	0.05	0.04	7	0.34	0.39	sweet	0.066	43	162	0.99561	3.11	0.53	low	12.63	no
white	0.0033	0.02	0.01	0.06	7	0.16	0.25	very sweet	0.044	27	149	0.998	2.91	0.46	low	17.85	no
white	0.0071	0.06	0.05	0.02	6.6	0.25	0.25	very low	0.04	28	85	0.98984	2.87	0.48	med	23.97	no
white	0.0084	0.06	0.06	0.01	7.3	0.17	0.24	very sweet	0.121	32	162	0.99508	3.17	0.38	med	19.78	yes
white	0.0034	0.03	0.01	0.05	7.4	0.21	0.8	very sweet	0.038	77	183	0.99778	2.95	0.48	low	16.33	no
red	0.044	0.19	0.58	0.37	6.5	0.39	0.23	very sweet	0.051	28	91	0.9952	3.44	0.55	standard	22.79	no
red	0.048	0.26	0.34	0.13	8.6	0.47	0.27	low	0.055	14	28	0.99516	3.18	0.8	med	14.3	no
white	0.0041	0.06	0.08	0.04	7.3	0.13	0.31	low	0.054	22	104	0.9924	3.24	0.92	standard	19.43	yes
white	0.0023	0.06	0.06	0.05	7.6	0.27	0.52	low	0.043	28	152	0.99129	3.02	0.53	med	23.43	no
white	0.009	0.09	0.05	0.03	6.8	0.2	0.28	very sweet	0.048	54	136	0.99556	3.19	0.37	med	17.05	no
white	0.0061	0.09	0.01	0.04	6.5	0.29	0.3	very sweet	0.051	25	166	0.99339	3.24	0.56	med	18.81	no
red	0.055	0.74	0.43	0.1	7.1	0.46	0.2	very low	0.077	28	54	0.9956	3.37	0.64	med	10.9	no
white	0.0031	0.06	0.04	0.06	6.9	0.4	0.56	very sweet	0.043	40	142	0.9975	3.14	0.46	low	13.85	no
white	0.0021	0.1	0.05	0.01	7.1	0.23	0.39	very low	0.032	12	65	0.9898	3.25	0.4	standard	15.72	yes
white	0.0029	0.1	0.08	0.05	6	0.28	0.24	very sweet	0.047	42	111	0.99896	3.1	0.45	low	15.31	no
red	0.063	0.71	0.28	0.3	12.3	0.39	0.63	low	0.091	6	18	1.0004	3.16	0.49	low	43.16	no
red	0.049	0.4	0.42	0.31	8.5	0.46	0.59	very low	0.414	16	45	0.99702	3.03	1.34	low	16.25	no
white	0.0026	0.05	0.03	0.03	7.3	0.24	0.34	very sweet	0.05	38	174	0.9983	3.03	0.42	low	17.65	no
white	9e-4	0.09	0.05	0.06	6.6	0.32	0.26	med	0.031	26	120	0.99198	3.4	0.73	standard	28.37	yes
red	0.057	0.55	0.13	0.29	5.4	0.835	0.08	very low	0.046	13	93	0.9924	3.57	0.85	standard	39.68	yes
red	0.07	0.6	0.57	0.4	8	1.18	0.21	very low	0.083	14	41	0.99532	3.34	0.47	med	45.46	no
white	0.0013	0.05	0.01	0.01	7.4	0.28	0.42	very sweet	0.066	53	195	1	2.96	0.44	low	29.15	no
white	0.0018	0.07	0.04	0.06	7	0.28	0.33	very sweet	0.043	47	168	0.9994	3.34	0.67	low	15.31	no
white	0.0091	0.05	0.08	0.04	7.8	0.16	0.41	very low	0.026	29	140	0.991	3.02	0.78	standard	23.72	no
white	0.0037	0.09	0.06	0.02	7.3	0.41	0.29	very low	0.032	26	74	0.98889	2.96	0.35	standard	18.07	yes
white	8e-4	0.09	0.06	0.01	6.1	0.105	0.31	very low	0.037	55	145	0.9912	3.41	0.41	med	14.92	yes
white	0.0095	0.03	0.04	0.02	6.3	0.3	0.48	sweet	0.053	34	149	0.99472	3.18	0.53	low	27.89	no
white	0.0043	0.06	0.07	0.04	5.9	0.22	0.29	med	0.037	69	144	0.99214	3.13	0.74	med	13.17	yes
red	0.041	0.67	0.47	0.35	7.8	0.55	0	very low	0.07	7	17	0.99659	3.26	0.64	low	42.61	no
white	0.0074	0.04	0.01	0.02	6.2	0.12	0.34	very low	0.045	43	117	0.9939	3.42	0.51	low	12.85	no
white	0.0067	0.06	0.01	0.04	7.5	0.29	0.24	very sweet	0.058	25	115	0.99567	3.15	0.46	med	21.05	no
white	0.0027	0.03	0.06	0.04	6.6	0.33	0.4	low	0.041	35	86	0.98916	3.11	0.39	standard	25.44	yes
white	0.003	0.02	0.07	0.05	7.7	0.34	0.28	very sweet	0.04	31	117	0.99815	3.27	0.29	low	23.14	no
white	0.0052	0.09	0.03	0.01	6.5	0.43	0.18	very sweet	0.032	25	131	0.99565	3.23	0.51	med	21.92	no
red	0.07	0.3	0.13	0.29	8.1	0.545	0.18	very low	0.08	13	35	0.9972	3.3	0.59	low	29.02	no
white	0.0031	0.06	0.07	0.04	7.5	0.34	0.35	sweet	0.034	12	126	0.9924	3.16	0.39	standard	27.84	yes
white	0.0039	0.04	0.06	0.02	5.8	0.3	0.42	very low	0.036	19	113	0.98871	3.1	0.46	standard	14.54	yes
white	0.0019	0.06	0.02	0.05	7.6	0.38	0.28	med	0.029	7	112	0.9906	3	0.41	standard	19.35	no
white	0.0078	0.09	0.01	0.02	7.2	0.4	0.38	low	0.03	40	109	0.99075	3.27	0.46	standard	13.82	no
red	0.04	0.82	0.44	0.23	6.1	0.32	0.25	low	0.071	23	58	0.99633	3.42	0.97	med	45.47	no
white	0.0085	0.05	0.04	0.01	6.4	0.16	0.37	very low	0.037	27	109	0.99345	3.38	0.5	low	23.52	no
white	0.0034	0.06	0.03	0.02	7	0.15	0.28	very sweet	0.051	29	149	0.99792	2.96	0.39	low	26.27	yes
red	0.041	0.76	0.5	0.23	5.6	0.915	0	low	0.041	17	78	0.99346	3.68	0.73	med	43.9	no
white	7e-4	0.03	0.01	0.04	6.5	0.33	0.38	low	0.047	30	148	0.98964	3.17	0.43	standard	19.34	no
white	2e-4	0.09	0.01	0.03	6.5	0.36	0.36	sweet	0.185	52	151	0.99528	3.17	0.42	low	14.69	no
white	0.0097	0.1	0.04	0.02	6.2	0.36	0.27	low	0.032	13	73	0.98942	2.9	0.69	standard	25.18	yes
white	0.0032	0.03	0.03	0.02	7.1	0.09	0.3	sweet	0.032	24	134	0.993	2.99	0.39	med	17.53	no
white	0.0023	0.08	0.07	0.04	6.8	0.17	0.17	med	0.049	26	82	0.993	3	0.38	low	17.13	no
white	0.0077	0.05	0.06	0.03	7.4	0.3	0.49	very sweet	0.055	49	188	0.9974	3.52	0.58	low	12.9	no
white	0.0082	0.03	0.04	0.04	7.1	0.28	0.28	very sweet	0.03	25	191	0.99338	3.16	0.46	standard	16.81	yes
red	0.064	0.26	0.27	0.29	9	0.785	0.24	very low	0.078	10	21	0.99692	3.29	0.67	med	21.46	no
red	0.058	0.14	0.61	0.35	10	0.44	0.49	low	0.077	11	19	0.9963	3.23	0.63	standard	37.4	yes
white	0.0025	0.06	0.04	0.06	8	0.28	0.42	sweet	0.045	41	169	0.9959	3.17	0.43	med	20.62	no
white	0.0067	0.04	0.06	0.01	4.2	0.215	0.23	med	0.041	64	157	0.99688	3.42	0.44	low	27.69	no
red	0.037	0.24	0.21	0.41	10.2	0.44	0.58	med	0.092	11	24	0.99745	3.29	0.99	standard	19.06	yes
red	0.064	0.72	0.54	0.18	9.9	0.35	0.55	low	0.062	5	14	0.9971	3.26	0.79	med	31.2	no
red	0.045	0.5	0.52	0.26	8.9	0.5	0.21	low	0.088	21	39	0.99692	3.33	0.83	med	24.96	no
red	0.045	0.51	0.19	0.13	7.7	0.51	0.28	low	0.087	23	54	0.998	3.42	0.74	low	39.33	no
white	0.0058	0.06	0.04	0.04	6.7	0.18	0.28	very sweet	0.039	29	115	0.99469	3.11	0.45	med	22.08	yes
white	0.0046	0.05	0.04	0.02	5.2	0.44	0.04	very low	0.036	43	119	0.9894	3.36	0.33	standard	15	yes
white	0.0026	0.06	0.04	0.03	6.8	0.2	0.27	very low	0.034	19	68	0.9902	3.14	0.37	standard	20.89	no
white	0.0089	0.08	0.08	0.05	6.6	0.21	0.3	very sweet	0.041	64	174	0.995	3.07	0.5	med	23.85	no
red	0.055	0.19	0.44	0.34	7.9	0.72	0.01	very low	0.076	7	32	0.99668	3.39	0.54	low	13.21	no
white	0.0056	0.02	0.03	0.01	6.5	0.2	0.24	very sweet	0.044	25	150	0.99502	3.22	0.44	med	18.29	no
red	0.058	0.29	0.6	0.17	6.7	0.46	0.24	very low	0.077	18	34	0.9948	3.39	0.6	med	45.14	no
white	0.0011	0.02	0.05	0.04	6.5	0.08	0.33	very low	0.028	23	93	0.991	3.34	0.7	standard	19.73	yes
white	0.006	0.09	0.01	0.04	6.8	0.32	0.34	very low	0.044	14	67	0.9919	3.05	0.47	med	17.88	no
white	0.0049	0.04	0.07	0.01	6.5	0.22	0.28	low	0.059	29	151	0.99177	3.23	0.41	standard	15.36	yes
red	0.069	0.38	0.53	0.24	6.6	0.66	0	low	0.115	21	31	0.99629	3.45	0.63	med	36.38	no
white	0.0067	0.06	0.07	0.04	6.4	0.18	0.32	very sweet	0.052	24	90	0.9963	3.35	0.49	low	16.16	no
white	0.0029	0.09	0.08	0.04	5.3	0.24	0.33	very low	0.033	25	97	0.9906	3.59	0.38	med	12.23	yes
white	0.0098	0.1	0.04	0.04	6	0.21	0.34	low	0.042	63	123	0.99052	3.44	0.42	med	19.69	no
white	0.0067	0.04	0.01	0.03	9.5	0.21	0.47	very low	0.039	21	123	0.9959	2.9	0.64	low	22.56	no
white	0.0014	0.06	0.07	0.05	8.1	0.22	0.43	very low	0.044	28	129	0.9938	3.22	0.45	med	19.33	no
white	0.0074	0.07	0.05	0.02	7.4	0.24	0.29	very sweet	0.05	21	105	0.9962	3.13	0.35	low	12.02	no
white	0.0067	0.05	0.05	0.05	5.1	0.33	0.22	very low	0.027	18	89	0.9893	3.51	0.38	standard	23.93	yes
white	0.009	0.1	0.08	0.01	6.6	0.41	0.24	med	0.158	47	144	0.99471	3.17	0.49	low	20.54	no
white	0.0065	0.05	0.03	0.02	6.1	0.26	0.28	very low	0.043	24	98	0.98918	3.14	0.44	standard	17.75	no
white	0.0038	0.05	0.04	0.04	6.7	0.13	0.29	med	0.051	31	122	0.9944	3.44	0.37	low	14	no
white	0.0059	0.08	0.03	0.05	5.2	0.34	0.37	sweet	0.031	42	133	0.99076	3.25	0.41	standard	22.38	no
white	0.008	0.07	0.08	0.04	7.5	0.17	0.37	very low	0.06	18	75	0.9936	3.54	0.88	med	12.71	no
white	0.007	0.07	0.01	0.03	5.7	0.37	0.3	very low	0.029	24	88	0.98883	3.18	0.39	standard	20.1	no
white	0.0064	0.1	0.07	0.05	8.3	0.21	0.49	very sweet	0.054	50	231	1.0012	2.99	0.54	low	15.12	no
white	0.0011	0.05	0.04	0.01	7.2	0.35	0.25	med	0.032	23	120	0.99334	2.93	0.66	med	21.16	yes
white	0.0097	0.01	0.02	0.06	7.5	0.17	0.34	very low	0.035	13	102	0.9918	3.05	0.74	med	23.04	no
red	0.045	0.55	0.14	0.41	6.6	0.695	0	low	0.075	12	56	0.9968	3.49	0.67	low	48.42	no
white	0.002	0.06	0.01	0.01	7.9	0.28	0.41	med	0.058	31	153	0.9966	3.27	0.51	low	24.84	no
white	0.0048	0.05	0.01	0.04	5.9	0.37	0.3	very low	0.033	35	95	0.98986	3.36	0.56	standard	14.24	yes
white	0.0072	0.09	0.08	0.01	5.8	0.27	0.2	sweet	0.04	42	145	0.99442	3.15	0.48	low	22.63	no
white	0.0061	0.03	0.06	0.02	6.4	0.32	0.26	sweet	0.05	53	180	0.99514	3.14	0.5	low	26.37	no
white	0.0078	0.01	0.08	0.05	7.2	0.2	0.61	very sweet	0.043	14	103	0.9987	3.06	0.36	low	12.43	no
white	6e-4	0.04	0.04	0.01	5.6	0.185	0.19	sweet	0.048	36	110	0.99438	3.26	0.41	low	23.31	no
red	0.052	0.44	0.57	0.18	8.7	0.78	0.51	very low	0.415	12	66	0.99623	3	1.17	low	21.94	no
white	0.0082	0.1	0.06	0.04	6.8	0.3	0.27	very sweet	0.028	22	97	0.99314	2.96	0.38	standard	23.38	no
white	0.0057	0.01	0.08	0.04	6.1	0.22	0.31	very low	0.039	40	129	0.99193	3.45	0.59	med	25.42	no
white	0.0032	0.02	0.03	0.04	9.8	0.36	0.46	very sweet	0.038	4	83	0.9956	2.89	0.3	med	14.51	no
white	0.0045	0.01	0.06	0.01	6.4	0.16	0.25	very low	0.047	20	77	0.9933	3.61	0.54	med	25.29	no
red	0.044	0.32	0.17	0.39	8.6	0.38	0.36	low	0.081	30	119	0.997	3.2	0.56	low	31.65	no
white	0.0032	0.07	0.04	0.02	6.6	0.22	0.35	very low	0.05	23	83	0.99019	3.17	0.48	standard	22.37	yes
white	0.0061	0.01	0.01	0.06	6.6	0.31	0.07	very low	0.033	55	144	0.99208	3.16	0.42	med	21.13	no
white	0.0066	0.05	0.01	0.06	7	0.32	0.31	sweet	0.031	38	115	0.99235	3.38	0.58	standard	29.44	yes
white	4e-4	0.04	0.06	0.04	6.8	0.21	0.27	very sweet	0.042	41	146	1.0001	3.3	0.36	low	25.18	no
white	0.0087	0.05	0.08	0.06	5.8	0.61	0.01	very sweet	0.041	31	104	0.9909	3.26	0.72	high	29.96	yes
red	0.05	0.29	0.53	0.24	9.8	0.5	0.34	low	0.094	10	45	0.99864	3.24	0.6	low	45.25	yes
white	0.0078	0.03	0.08	0.02	6.4	0.31	0.31	very sweet	0.045	55	161	0.99546	3.02	0.59	med	19.96	no
white	0.0085	0.1	0.08	0.03	5.9	0.35	0.47	low	0.11	14	138	0.9932	3.09	0.5	low	19.05	no
white	0.0061	0.06	0.05	0.04	6.5	0.13	0.37	very low	0.036	48	114	0.9911	3.41	0.51	standard	27.69	yes
red	0.052	0.25	0.24	0.21	9.4	0.27	0.53	low	0.074	6	18	0.9962	3.2	1.13	standard	11.29	yes
red	0.038	0.68	0.37	0.16	8.6	0.22	0.36	very low	0.064	53	77	0.99604	3.47	0.87	med	11.99	yes
white	0.0074	0.09	0.07	0.05	8.7	0.31	0.21	med	0.039	28	67	0.99328	2.96	0.52	med	28.29	no
white	0.0028	0.04	0.04	0.03	6.8	0.24	0.33	low	0.049	68	161	0.99324	3.1	0.69	med	17.65	no
white	0.0034	0.03	0.04	0.03	6.7	0.25	0.13	very low	0.041	81	174	0.992	3.14	0.42	low	26.55	no
white	8e-4	0.01	0.03	0.06	6.1	0.16	0.27	very sweet	0.064	63	162	0.9994	3.66	0.43	low	13.18	no
white	0.009	0.08	0.05	0.05	6.3	0.15	0.3	very low	0.022	38	100	0.99099	3.42	0.57	med	29.41	yes
white	0.01	0.1	0.06	0.02	5.5	0.485	0	very low	0.065	8	103	0.994	3.63	0.4	low	24.39	no
white	0.01	0.05	0.02	0.06	5.7	0.43	0.3	med	0.039	24	98	0.992	3.54	0.61	standard	27.57	yes
white	7e-4	0.01	0.01	0.05	7.5	0.38	0.29	very sweet	0.05	25	209	0.9986	3.25	0.59	low	27.66	no
red	0.067	0.31	0.6	0.42	7.1	0.875	0.05	med	0.082	3	14	0.99808	3.4	0.52	med	45.77	no
white	0.0071	0.1	0.08	0.05	6.1	0.19	0.37	low	0.041	24	99	0.99153	3.18	0.5	med	24.25	no
red	0.055	0.25	0.25	0.32	7.6	0.52	0.12	low	0.067	12	53	0.9971	3.36	0.57	low	26.38	no
red	0.052	0.56	0.24	0.18	7.1	0.52	0.03	low	0.076	21	92	0.99745	3.5	0.6	low	10.29	no
white	0.0025	0.05	0.05	0.06	7.3	0.2	0.26	very low	0.04	36	123	0.99238	3.34	0.44	med	18.83	no
red	0.068	0.5	0.14	0.22	6.4	0.79	0.04	low	0.061	11	17	0.99588	3.53	0.65	med	25.2	no
white	0.0039	0.06	0.07	0.02	6.2	0.25	0.25	very low	0.03	35	105	0.9912	3.3	0.44	med	13.32	yes
red	0.063	0.81	0.6	0.12	6.7	0.75	0.12	low	0.086	12	80	0.9958	3.38	0.52	med	45.07	no
white	0.0059	0.02	0.07	0.06	7.6	0.16	0.41	very low	0.047	27	151	0.9937	3.2	0.53	med	18.99	no
red	0.064	0.44	0.13	0.45	9	0.45	0.49	low	0.084	21	75	0.9987	3.35	0.57	low	43.36	no
white	0.0035	0.06	0.04	0.05	7.3	0.4	0.24	sweet	0.058	41	166	0.995	3.2	0.41	low	22.37	no
white	0.0061	0.1	0.04	0.02	6.9	0.17	0.25	very low	0.047	34	132	0.9914	3.16	0.48	med	24.89	no
white	0.0014	0.02	0.01	0.01	6.9	0.25	0.29	low	0.038	28	76	0.99088	3.01	0.36	standard	21.18	yes
white	0.0038	0.09	0.01	0.03	7.2	0.14	0.35	very low	0.036	15	73	0.9938	3.46	0.39	low	12.27	no
white	0.0043	0.07	0.08	0.01	6.7	0.19	0.41	very sweet	0.056	75	155	0.9995	3.2	0.44	low	21.7	no
white	0.0035	0.03	0.08	0.04	6.6	0.29	0.73	low	0.027	21	92	0.99	3.12	0.48	standard	18.46	no
red	0.041	0.31	0.29	0.23	8.7	0.29	0.52	very low	0.113	12	37	0.9969	3.25	0.58	low	37.59	no
white	0.006	0.08	0.07	0.01	8.6	0.265	0.36	very low	0.034	15	80	0.9913	2.95	0.36	med	18.52	yes
white	0.0016	0.08	0.02	0.03	6	0.27	0.15	very low	0.056	35	128	0.9936	3.12	0.45	low	18.16	no
white	0.0069	0.04	0.02	0.03	6.3	0.25	0.53	very low	0.021	41	101	0.98931500000000006	3.19	0.31	standard	26.2	no
white	0.0097	0.03	0.03	0.02	7.3	0.32	0.23	very sweet	0.05	49	197	0.9985	3.2	0.46	low	21.34	no
white	9e-4	0.01	0.01	0.05	6.2	0.17	0.3	very low	0.037	14	79	0.993	3.5	0.54	med	24.57	no
white	9e-4	0.09	0.02	0.02	5.8	0.28	0.66	very sweet	0.039	26	159	0.9965	3.66	0.55	med	21.7	no
red	0.044	0.39	0.6	0.43	7.5	0.705	0.24	very low	0.36	15	63	0.9964	3	1.59	low	43.15	no
red	0.066	0.45	0.31	0.16	13.8	0.49	0.67	low	0.093	6	15	0.9986	3.02	0.93	standard	48.14	no
red	0.063	0.15	0.6	0.2	7.4	0.55	0.19	very low	0.082	15	34	0.99655	3.49	0.68	med	35.43	no
white	0.0057	0.01	0.04	0.04	8.7	0.3	0.34	med	0.018	23	127	0.99474	3.12	0.49	med	21.41	yes
red	0.058	0.71	0.61	0.27	8.3	0.28	0.48	low	0.093	6	12	0.99408	3.26	0.62	standard	26.12	yes
white	0.0078	0.04	0.02	0.05	6.4	0.24	0.32	very low	0.041	23	131	0.99033	3.25	0.35	standard	18.6	no
red	0.067	0.36	0.12	0.23	7.7	0.62	0.04	low	0.084	25	45	0.9978	3.34	0.53	low	46.57	no
white	0.0048	0.04	0.07	0.02	5.6	0.32	0.32	very sweet	0.043	32	105	0.99266	3.24	0.47	med	16.76	no
white	0.0048	0.05	0.08	0.05	7.2	0.17	0.41	very low	0.052	24	126	0.99228	3.19	0.49	med	27.95	no
white	0.0093	0.1	0.06	0.03	6.9	0.24	0.33	med	0.04	16	131	0.9936	3.26	0.64	med	18.06	no
white	0.0048	0.04	0.02	0.01	7	0.2	0.37	low	0.03	26	136	0.9932	3.28	0.61	med	24.96	no
white	0.0011	0.03	0.08	0.04	6.9	0.19	0.33	very low	0.043	63	149	0.9925	3.44	0.52	med	14.2	no
white	8e-4	0.06	0.01	0.03	6.9	0.39	0.4	med	0.022	5	19	0.9915	3.31	0.37	standard	16.63	no
white	0.0021	0.06	0.08	0.06	7.6	0.13	0.34	very sweet	0.062	40	126	0.9966	3.21	0.39	low	19.07	no
white	0.0044	0.1	0.01	0.04	7	0.35	0.3	sweet	0.028	27	87	0.9936	3.4	0.42	med	18.79	yes
white	0.0066	0.08	0.07	0.04	6.6	0.34	0.27	sweet	0.059	23	136	0.9957	3.3	0.49	med	26.4	no
white	6e-4	0.01	0.05	0.02	7.1	0.18	0.39	very sweet	0.051	48	156	0.99947	3.35	0.78	low	26.39	no
white	8e-4	0.09	0.02	0.06	6.1	0.22	0.5	sweet	0.045	30	122	0.99415	3.22	0.49	low	27.94	no
white	0.0091	0.04	0.06	0.03	6.6	0.32	0.22	very sweet	0.046	38	133	0.9979	3.22	0.67	med	17.76	no
red	0.035	0.28	0.47	0.21	6.6	0.63	0	med	0.093	51	78	0.99558	3.2	0.45	low	13.68	no
white	0.0094	0.1	0.03	0.02	8	0.27	0.33	very low	0.05	41	103	0.99002	3	0.45	standard	27.93	no
white	0.003	0.1	0.01	0.01	6.8	0.28	0.29	very sweet	0.052	51	149	0.99544	3.02	0.58	med	22.45	no
white	0.0061	0.03	0.07	0.04	6.5	0.26	0.74	very sweet	0.044	68	224	0.9972	3.18	0.54	low	19.12	no
white	0.0099	0.07	0.07	0.02	5.6	0.12	0.33	low	0.044	21	73	0.98896	3.17	0.32	standard	25.93	yes
white	0.0065	0.06	0.03	0.05	7.9	0.28	0.41	low	0.044	50	152	0.9934	3.45	0.49	med	29.44	yes
white	0.0088	0.05	0.07	0.02	6.8	0.36	0.24	med	0.039	24	124	0.9909	3.27	0.34	standard	14.51	yes
white	0.0093	0.04	0.08	0.03	5.9	0.12	0.27	med	0.03	40	110	0.99226	3.55	0.68	standard	15.68	no
white	0.0026	0.06	0.03	0.01	6.6	0.25	0.24	very low	0.048	26	124	0.9942	3.37	0.6	med	17.97	no
white	0.0012	0.07	0.08	0.02	6.9	0.38	0.29	very sweet	0.048	52	189	0.99784	3	0.6	low	24.85	no
white	0.0076	0.06	0.02	0.04	6.4	0.27	0.29	low	0.034	62	140	0.99237	3.1	0.59	med	15.32	no
white	0.0062	0.01	0.03	0.04	7.3	0.155	0.49	very low	0.039	34	136	0.9926	3.14	0.77	med	15.46	no
white	0.0072	0.02	0.07	0.03	6.6	0.16	0.35	very low	0.042	26	105	0.98962	3.19	0.75	standard	16.51	yes
white	0.0044	0.04	0.06	0.03	6.7	0.16	0.32	very sweet	0.035	18	156	0.99666	2.88	0.36	low	27.26	no
white	0.0074	0.01	0.03	0.02	6.6	0.41	0.16	very low	0.037	28	160	0.99167	2.95	0.45	med	17.65	no
white	0.0058	0.09	0.01	0.05	7.8	0.23	0.28	med	0.042	45	166	0.9928	2.96	0.4	standard	19.84	no
white	0.0039	0.03	0.02	0.04	6.5	0.18	0.34	very low	0.04	43	148	0.9912	3.32	0.59	standard	18.29	yes
white	0.0031	0.03	0.04	0.02	8.4	0.31	0.31	very low	0.021	52	148	0.99038	2.93	0.32	standard	24.2	no
red	0.048	0.4	0.27	0.14	7.1	0.68	0	low	0.087	17	26	0.99783	3.45	0.53	low	17.04	no
white	0.0021	0.06	0.03	0.04	6.2	0.35	0.03	very low	0.064	29	120	0.9934	3.22	0.54	low	14.58	no
white	0.0075	0.09	0.04	0.03	6.7	0.13	0.45	med	0.043	52	131	0.99162	3.06	0.54	med	26.78	no
white	2e-4	0.06	0.08	0.03	6.5	0.2	0.31	low	0.033	32	95	0.989435	2.96	0.61	standard	27.66	no
