in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19,in20,in21,in22,outcome
0.56,3,148.37284392514266,119.83016700165537,316.935,-60.443600000000004,11.49,9.4,12.5733,103.736,-60.3461,688.2,1,45.4831,136.853,5.74,2,688.237,45.4179,5.74,54.7382,48.998,0.27135073504345947
0.56,3,236.76167688611895,153.40261949627043,316.936,-60.4482,11.69,9.57,12.6823,104.591,-60.349,700.3,1,45.4855,136.853,5.84,2,700.259,45.4191,5.84,55.2155,49.3754,0.2361210351661433
0.55,3,271.0073977909051,130.01557915862787,316.937,-60.4506,11.8,9.65,12.7368,105.018,-60.3505,706.3,1,45.4866,136.853,5.89,2,706.307,45.4197,5.89,55.4541,49.5639,0.21745268392457165
0.54,3,25.099505493883044,69.92373679677063,316.941,-60.4599,12.2,9.99,12.9546,106.727,-60.3565,730.8,1,45.4914,136.853,6.09,2,730.753,45.4222,6.09,56.4087,50.3185,0.14256742312040546
1.42,5,671.0616715729702,155.26087201462087,316.856,-59.7826,4.31,3.52,7.70632,98.2611,-60.2138,257.9,2,45.3675,136.853,2.15,3,257.934,44.9384,2.15,33.4705,31.3204,0.9913293183442118
1.32,5,794.6341225018259,156.2238246259423,316.865,-59.7751,4.94,4.05,8.2551,105.119,-60.2286,296.1,2,45.3815,136.853,2.47,3,296.052,44.9199,2.47,35.8629,33.3929,0.9299026811319266
0.68,3,960.0606053073425,172.413143874206,316.9,-60.3552,7.92,6.48,10.4449,86.9004,-60.288,474.5,1,45.435,136.853,3.95,2,474.465,45.3901,3.95,45.4254,41.4752,0.5161174143572776
0.68,3,530.1965748490766,101.2615327200888,316.901,-60.3575,8.01,6.55,10.4995,87.3287,-60.2895,479.5,1,45.4361,136.853,4,2,479.454,45.3907,4,45.6643,41.6643,0.6718276032749062
0.65,3,615.5618457589298,112.33423617943984,316.907,-60.3728,8.6,7.04,10.8821,90.3828,-60.2999,515.1,1,45.4451,136.853,4.29,2,515.121,45.3964,4.29,47.3365,43.0464,0.6557901163473743
0.63,3,937.5403052307665,107.16845003972912,316.914,-60.3908,9.31,7.62,11.319,93.8443,-60.3118,557.4,1,45.4551,136.853,4.65,2,557.431,45.4022,4.65,49.2473,44.5971,0.5981711063304451
0.61,3,917.1708260662854,130.3982559169572,316.918,-60.3998,9.67,7.91,11.5373,95.5751,-60.3177,579.2,1,45.4601,136.853,4.83,2,579.2,45.4052,4.83,50.2026,45.3725,0.559711567906537
0.61,3,882.55321230134,111.52668931553768,316.919,-60.402,9.76,7.99,11.5918,96.0125,-60.3192,584.7,1,45.4614,136.853,4.87,2,584.707,45.406,4.87,50.4414,45.5712,0.5500624974721747
0.6,3,178.7898115918506,105.70413821761153,316.923,-60.4135,10.23,8.37,11.8645,98.1598,-60.3266,612.6,1,45.4674,136.853,5.11,2,612.627,45.4093,5.11,51.6351,46.5249,0.48527505628624434
0.57,3,620.1574006676674,144.61120763887578,316.93,-60.4318,11,9,12.3008,101.6,-60.3386,658.6,1,45.4771,136.853,5.49,2,658.643,45.4147,5.49,53.5449,48.0548,0.3607827880613459
0.55,3,990.1320540427696,139.53580759551252,316.937,-60.4505,11.8,9.65,12.7368,105.018,-60.3505,706.3,1,45.4866,136.853,5.89,2,706.308,45.4197,5.89,55.4542,49.5639,0.21744883200024656
1.41,5,196.02909843670204,126.08161461485099,136.857,-59.7817,4.37,3.57,7.76111,98.9495,-60.2153,261.6,2,45.3689,136.853,2.18,3,261.625,44.9365,2.18,33.7097,31.5298,0.9876950277434849
1.35,5,717.0628696377389,132.40558549300187,136.862,-59.7771,4.75,3.89,8.09042,103.066,-60.2241,284.3,2,45.3773,136.853,2.37,3,284.34,44.9255,2.37,35.1453,32.7754,0.9512096005361881
1.22,5,588.3551016121637,46.7410691389143,316.876,-59.7674,5.76,4.72,8.9126,113.319,-60.2464,345.2,2,45.3979,136.853,2.88,3,345.21,44.897,2.88,38.7328,35.8529,0.8451256786609171
1.21,5,146.20065132551827,147.592502846664,316.876,-59.7666,5.84,4.78,8.96754,114.006,-60.2478,349.5,2,45.3993,136.853,2.91,3,349.482,44.8952,2.91,38.9719,36.0619,0.8399294327463644
0.66,3,472.2010529129766,108.57288096528441,316.906,-60.3685,8.43,6.9,10.7727,89.5076,-60.2968,504.8,1,45.4425,136.853,4.21,2,504.799,45.3946,4.21,46.8589,42.6488,0.6620649010729537
0.64,3,437.3388590752147,109.05323059553115,316.911,-60.3818,8.95,7.33,11.1005,92.1139,-60.3058,536.1,1,45.4501,136.853,4.47,2,536.065,45.3993,4.47,48.292,43.822,0.6364149369921479
0.6,3,515.9956006426364,134.64465293707102,316.921,-60.4064,9.95,8.14,11.7009,96.8772,-60.3221,595.8,1,45.4638,136.853,4.96,2,595.793,45.4074,4.96,50.9188,45.9586,0.526910506316193
0.59,3,362.7765111334156,119.1035344577512,316.926,-60.4203,10.52,8.6,12.0282,99.4524,-60.3311,629.7,1,45.471,136.853,5.25,2,629.692,45.4114,5.25,52.3513,47.1012,0.4457061636567089
0.56,3,634.4200215614401,69.16012049314666,316.935,-60.4435,11.49,9.4,12.5733,103.736,-60.346,688.2,1,45.483,136.853,5.74,2,688.238,45.4178,5.74,54.7382,48.998,0.2713102898380459
0.56,3,47.92176004406065,89.08598376197708,316.936,-60.4481,11.69,9.57,12.6823,104.591,-60.3489,700.3,1,45.4854,136.853,5.84,2,700.26,45.419,5.84,55.2156,49.3754,0.23602858898234091
0.55,3,153.70485797082074,106.21206807225852,316.937,-60.4505,11.8,9.65,12.7367,105.018,-60.3504,706.3,1,45.4865,136.853,5.89,2,706.302,45.4196,5.89,55.4542,49.5639,0.2173814233245574
0.54,3,401.32925739558414,123.91942761790759,316.941,-60.4598,12.2,9.99,12.9546,106.727,-60.3564,730.8,1,45.4913,136.853,6.09,2,730.754,45.4221,6.09,56.4087,50.3185,0.14256742312040546
1.3,5,211.24165855022147,62.8943076225341,316.866,-59.7733,5.08,4.15,8.36462,106.494,-60.2315,304,2,45.3842,136.853,2.53,3,303.98,44.9162,2.53,36.3412,33.8112,0.9172876289672416
1.29,5,750.0985995642841,142.37156588343547,316.867,-59.7729,5.14,4.21,8.41946,107.171,-60.233,308,2,45.3855,136.853,2.57,3,307.987,44.9141,2.57,36.5804,34.0103,0.9089270272196234
1.23,5,171.73690789286047,180.34330801071144,316.875,-59.7677,5.69,4.66,8.85794,112.641,-60.2448,341,2,45.3965,136.853,2.84,3,340.975,44.899,2.84,38.4937,35.6537,0.8524982618191486
1.16,5,259.55289180972613,153.30724654771728,316.882,-59.7631,6.35,5.19,9.35079,118.766,-60.2582,380.1,2,45.4086,136.853,3.17,3,380.067,44.8814,3.17,40.6455,37.4753,0.7983825769758928
1.15,5,359.1142202189658,207.1862553688393,316.883,-59.7623,6.42,5.25,9.40557,119.454,-60.2597,384.5,2,45.41,136.853,3.2,3,384.543,44.8796,3.2,40.8846,37.6846,0.7944016131859075
0.67,3,201.43289579940028,138.77188668356442,316.903,-60.3617,8.17,6.69,10.6089,88.2043,-60.2923,489.5,1,45.4386,136.853,4.08,2,489.518,45.3923,4.08,46.1422,42.0622,0.6689579196527107
0.64,3,184.42644659033976,147.4974478105737,316.911,-60.3817,8.95,7.33,11.1005,92.1137,-60.3057,536.1,1,45.45,136.853,4.47,2,536.067,45.3992,4.47,48.292,43.8219,0.6364438264245862
0.63,3,856.0568344371859,119.9479464596632,316.914,-60.3884,9.22,7.54,11.2641,93.4168,-60.3102,552,1,45.4538,136.853,4.6,2,552.039,45.4015,4.6,49.0085,44.4084,0.4634924242278337
0.58,3,309.52082694415003,155.8254383100124,316.927,-60.4226,10.61,8.68,12.0827,99.8799,-60.3325,635.4,1,45.4722,136.853,5.3,2,635.43,45.4119,5.3,52.5901,47.2899,0.42752315488009923
1.43,5,130.2006986164488,85.59928733361308,316.855,-59.7833,4.25,3.47,7.65149,97.5738,-60.2122,254.3,2,45.366,136.853,2.12,3,254.268,44.9401,2.12,33.2312,31.1113,0.9952139840260701
1.25,5,15.580457888310775,132.51891771555074,316.872,-59.7697,5.48,4.49,8.69343,110.589,-60.2403,328.4,2,45.3923,136.853,2.74,3,328.405,44.9046,2.74,37.7762,35.0363,0.8728691636124117
1.21,5,749.8656195267104,93.05021747819671,136.877,-59.7661,5.91,4.83,9.02222,114.683,-60.2492,353.8,2,45.4005,136.853,2.95,3,353.771,44.8931,2.95,39.2111,36.261,0.8326242582638222
1.17,5,84.49300181306899,141.74080607647164,316.882,-59.7634,6.27,5.13,9.29606,118.089,-60.2566,375.6,2,45.4072,136.853,3.13,3,375.621,44.8834,3.13,40.4064,37.2764,0.8045552857068571
0.74,3,448.5955836630892,68.65835951898397,316.887,-60.3228,6.72,5.5,9.6244,80.3216,-60.2655,402.7,1,45.4152,136.853,3.36,2,402.692,45.377,3.36,41.8408,38.4808,0.5206126100446631
0.72,3,209.28860574681312,132.82613658094886,316.892,-60.3356,7.19,5.89,9.95278,82.9591,-60.2744,430.7,1,45.4231,136.853,3.59,2,430.704,45.3823,3.59,43.2747,39.6846,0.6720047917938605
0.69,3,156.09208751725964,104.27007591556655,316.898,-60.3485,7.68,6.28,10.2809,85.5868,-60.2833,459.6,1,45.4309,136.853,3.83,2,459.646,45.3874,3.83,44.7086,40.8784,0.6739191981834325
0.68,3,988.9335372454952,145.94043065583202,316.9,-60.355,7.92,6.48,10.4449,86.9005,-60.2878,474.5,1,45.4348,136.853,3.95,2,474.466,45.3899,3.95,45.4254,41.4753,0.5161828970708042
0.58,3,710.9790869816206,100.46655644629561,316.928,-60.4247,10.71,8.76,12.1372,100.317,-60.3339,641.2,1,45.4734,136.853,5.34,2,641.193,45.4128,5.34,52.8288,47.4887,0.4136677830827337
1.44,5,311.49094022694044,101.16756670187223,316.854,-59.7841,4.19,3.42,7.59665,96.8861,-60.2107,250.6,2,45.3645,136.853,2.09,3,250.628,44.9418,2.09,32.992,30.902,0.998728864972719
1.36,5,105.52957483101636,177.11722292808915,136.861,-59.7778,4.68,3.83,8.03559,102.378,-60.2225,280.5,2,45.3757,136.853,2.34,3,280.491,44.9271,2.34,34.9061,32.566,0.9578021690185876
1.33,5,362.0400184353348,128.47976382003972,136.864,-59.7752,4.88,3.99,8.20006,104.441,-60.2269,292.1,2,45.38,136.853,2.43,3,292.117,44.9217,2.43,35.6238,33.1938,0.9181812754106633
1.3,5,555.0185408110265,117.22181848626062,316.866,-59.7732,5.08,4.15,8.36463,106.494,-60.2314,304,2,45.3841,136.853,2.53,3,303.981,44.9161,2.53,36.3412,33.8113,0.9172587395348032
1.23,5,932.43662160635,94.9402128143756,316.875,-59.7676,5.69,4.66,8.85794,112.641,-60.2447,341,2,45.3964,136.853,2.84,3,340.975,44.8989,2.84,38.4937,35.6537,0.8525175214407739
0.74,3,64.01458505168557,149.6869357496088,316.888,-60.3247,6.8,5.57,9.67929,80.7695,-60.267,407.3,1,45.4165,136.853,3.39,2,407.303,45.378,3.39,42.0799,38.6897,0.6596362627859814
0.71,3,738.2618002654053,151.48468345892942,316.893,-60.3377,7.27,5.95,10.0075,83.3973,-60.2759,435.5,1,45.4244,136.853,3.63,2,435.462,45.3831,3.63,43.5138,39.8837,0.6729889584589221
0.67,3,606.0182584340218,140.82579659171776,316.902,-60.3595,8.09,6.62,10.5541,87.7668,-60.2907,484.5,1,45.4373,136.853,4.04,2,484.468,45.3913,4.04,45.9033,41.8634,0.67114581266936435
0.65,3,94.25213369703852,137.78276938188958,316.907,-60.3726,8.6,7.04,10.882,90.3829,-60.2996,515.1,1,45.445,136.853,4.29,2,515.114,45.3962,4.29,47.3365,43.0465,0.6558132278933249
0.64,3,853.6207822880242,165.67291365554016,316.912,-60.3838,9.04,7.4,11.1552,92.5517,-60.3071,541.4,1,45.4512,136.853,4.51,2,541.37,45.4,4.51,48.5309,44.0209,0.6296779213475573
0.62,3,785.4538107481785,126.73786288105717,316.917,-60.3973,9.58,7.84,11.4825,95.1471,-60.316,573.7,1,45.4587,136.853,4.78,2,573.708,45.4044,4.78,49.9637,45.1836,0.570936075389863
0.61,3,127.27656004508026,196.3696174985001,316.92,-60.4041,9.86,8.07,11.6463,96.4401,-60.3205,590.2,1,45.4624,136.853,4.92,2,590.236,45.4065,4.92,50.68,45.76,0.5366019479181313
0.6,3,563.3626224503387,159.72387978523966,316.92,-60.4063,9.95,8.14,11.7009,96.8773,-60.322,595.8,1,45.4637,136.853,4.96,2,595.795,45.4073,4.96,50.9188,45.9586,0.5267467995323764
0.59,3,541.3027045407798,106.00008837004748,316.926,-60.4201,10.52,8.6,12.0282,99.4525,-60.3309,629.7,1,45.4709,136.853,5.25,2,629.693,45.4112,5.25,52.3514,47.1013,0.44558867996479357
0.57,3,194.26435975520872,85.10362318116702,316.933,-60.4386,11.29,9.24,12.4643,102.881,-60.3428,676.3,1,45.4805,136.853,5.64,2,676.324,45.4164,5.64,54.2609,48.6207,0.3057368634935798
0.56,3,788.8998087367509,85.49176367955525,316.934,-60.441,11.39,9.32,12.5188,103.309,-60.3443,682.3,1,45.4817,136.853,5.69,2,682.268,45.417,5.69,54.4995,48.8095,0.2884667607820178
0.55,3,378.4499237360433,97.31731649955566,316.939,-60.455,12,9.82,12.8456,105.873,-60.3533,718.5,1,45.4888,136.853,5.99,2,718.471,45.4207,5.99,55.9315,49.9413,0.18260817647976493
1.43,5,357.320886047557,85.04630264399779,316.855,-59.7832,4.25,3.47,7.65149,97.5739,-60.2121,254.3,2,45.3659,136.853,2.12,3,254.269,44.94,2.12,33.2313,31.1113,0.9952197619125577
1.31,5,324.64907611277886,122.19817329640736,316.865,-59.774,5.01,4.1,8.30979,105.806,-60.2299,300,2,45.3827,136.853,2.5,3,300.001,44.9178,2.5,36.1021,33.602,0.9225666912547839
1.3,5,280.7983840913512,164.85257822863764,316.866,-59.7731,5.08,4.15,8.36463,106.494,-60.2313,304,2,45.3841,136.853,2.53,3,303.981,44.916,2.53,36.3413,33.8113,0.9172529616483156
1.29,5,137.81520558078773,120.77353890283727,136.868,-59.7719,5.21,4.26,8.47436,107.859,-60.2343,312,2,45.3868,136.853,2.6,3,312.023,44.9122,2.6,36.8196,34.2196,0.9028583204454367
1.16,5,686.2224890314974,147.77589423287753,316.882,-59.763,6.35,5.19,9.3508,118.766,-60.258,380.1,2,45.4084,136.853,3.17,3,380.068,44.8812,3.17,40.6455,37.4754,0.7984018365975184
0.7,3,836.3958617087919,159.35087890699475,316.895,-60.3419,7.43,6.08,10.117,84.2732,-60.2788,445.1,1,45.4269,136.853,3.71,2,445.062,45.3847,3.71,43.9917,40.2816,0.6743949108375817
0.67,3,226.9754644248169,100.2364202651636,316.903,-60.3616,8.17,6.69,10.6089,88.2044,-60.2922,489.5,1,45.4385,136.853,4.08,2,489.52,45.3921,4.08,46.1422,42.0622,0.6690041427446117
0.66,3,304.4023323690053,66.7242758598006,316.906,-60.3704,8.52,6.97,10.8275,89.9453,-60.2981,509.9,1,45.443600000000004,136.853,4.25,2,509.949,45.3953,4.25,47.0977,42.8477,0.6590103250831535
0.65,3,664.4277514421847,146.73871394240905,316.909,-60.3771,8.78,7.18,10.9911,91.2484,-60.3026,525.5,1,45.4474,136.853,4.38,2,525.533,45.3976,4.38,47.8143,43.4342,0.6465589797022849
1.38,5,908.2817746687215,145.19726647135198,316.86,-59.7789,4.56,3.73,7.92581,101.012,-60.2194,272.9,2,45.3729,136.853,2.27,3,272.866,44.9309,2.27,34.4276,32.1575,0.9726532632539904
1.35,5,157.49420553585514,150.04858483608348,316.862,-59.7768,4.75,3.89,8.0905,103.066,-60.2239,284.3,2,45.377,136.853,2.37,3,284.343,44.9252,2.37,35.1453,32.7754,0.9511036726172479
1.24,5,52.99622799665667,178.38330846799332,316.873,-59.7687,5.55,4.54,8.74844,111.276,-60.2417,332.6,2,45.3936,136.853,2.77,3,332.576,44.9026,2.77,38.0155,35.2454,0.8665905269625074
0.74,3,413.07392250793055,133.35244951815574,316.888,-60.3246,6.8,5.57,9.67924,80.7696,-60.2669,407.3,1,45.4164,136.853,3.39,2,407.301,45.3779,3.39,42.0798,38.6898,0.6598230811157485
0.72,3,189.91618307936005,160.40755942524493,316.891,-60.3332,7.11,5.82,9.89813,82.5213,-60.2728,426,1,45.4216,136.853,3.55,2,425.974,45.3813,3.55,43.0358,39.4857,0.6667392112414561
0.72,3,769.980032393476,100.47094497413636,316.892,-60.3354,7.19,5.89,9.9528,82.9592,-60.2743,430.7,1,45.423,136.853,3.59,2,430.705,45.3821,3.59,43.2748,39.6846,0.6721550168425393
0.64,3,892.9433125010692,216.11133504252388,316.912,-60.3837,9.04,7.4,11.1551,92.5518,-60.307,541.4,1,45.4511,136.853,4.51,2,541.365,45.3999,4.51,48.5309,44.0209,0.629577771315105
0.61,3,234.6513666009996,136.66195115171521,316.92,-60.404,9.86,8.07,11.6462,96.4402,-60.3204,590.2,1,45.4623,136.853,4.92,2,590.231,45.4064,4.92,50.6801,45.7601,0.5364401670964773
0.57,3,669.6479523538146,114.2199394603984,316.931,-60.4339,11.1,9.08,12.3553,102.026,-60.3397,664.5,1,45.478,136.853,5.54,2,664.51,45.4151,5.54,53.7835,48.2432,0.34325845834432733
0.57,3,686.7702233886812,99.82032991144386,316.933,-60.4385,11.29,9.24,12.4643,102.881,-60.3427,676.3,1,45.4804,136.853,5.64,2,676.325,45.4163,5.64,54.261,48.6207,0.3055057480340743
0.56,3,940.5409865083639,120.15492300612141,316.936,-60.4479,11.69,9.57,12.6823,104.591,-60.3487,700.3,1,45.4851,136.853,5.84,2,700.261,45.4188,5.84,55.2156,49.3754,0.2356433965498315
0.55,3,795.9773500417359,151.0866730318227,316.938,-60.4526,11.9,9.73,12.7912,105.445,-60.3517,712.4,1,45.4875,136.853,5.94,2,712.379,45.42,5.94,55.6929,49.7527,0.19965871950479666
0.55,3,659.0849768558983,128.45853809223567,316.939,-60.4549,12,9.82,12.8456,105.873,-60.3532,718.5,1,45.4887,136.853,5.99,2,718.472,45.4206,5.99,55.9315,49.9413,0.1824540995067612
1.3,5,412.036595672369,139.71083556714174,136.866,-59.773,5.08,4.15,8.36458,106.494,-60.2312,304,2,45.384,136.853,2.53,3,303.979,44.9159,2.53,36.3412,33.8113,0.9172182943293897
1.29,5,249.46788474940695,112.30249394884049,136.867,-59.7727,5.14,4.21,8.41942,107.171,-60.2327,308,2,45.3853,136.853,2.57,3,307.986,44.9139,2.57,36.5804,34.0104,0.9088634704682594
1.24,5,211.94761970010586,89.59489187320378,316.873,-59.7686,5.55,4.54,8.74845,111.276,-60.2416,332.6,2,45.3936,136.853,2.77,3,332.576,44.9026,2.77,38.0155,35.2454,0.8665905269625074
0.74,3,959.6475009983405,164.29545522050879,316.887,-60.3226,6.72,5.5,9.62442,80.3218,-60.2653,402.7,1,45.415,136.853,3.36,2,402.694,45.3768,3.36,41.8408,38.4809,0.5209361716879711
0.72,3,680.6670046371873,131.20604076186737,316.891,-60.3332,7.11,5.82,9.89813,82.5214,-60.2728,426,1,45.4216,136.853,3.55,2,425.974,45.3812,3.55,43.0358,39.4857,0.6668181756901205
0.7,3,628.1064308616333,160.1606169168654,316.897,-60.3462,7.59,6.21,10.2262,85.1493,-60.2817,454.8,1,45.4294,136.853,3.79,2,454.758,45.3863,3.79,44.4697,40.6797,0.6744873570213841
0.69,3,571.0296181058511,94.66352526639008,316.898,-60.3505,7.76,6.35,10.3356,86.0252,-60.2846,464.6,1,45.432,136.853,3.87,2,464.561,45.388,3.87,44.9476,41.0776,0.6740482376483232
0.66,3,442.04205458262004,135.86675828597308,316.905,-60.3682,8.43,6.9,10.7727,89.5072,-60.2965,504.8,1,45.4422,136.853,4.21,2,504.796,45.3943,4.21,46.8588,42.6486,0.6621188280135049
0.6,3,278.4095692471601,131.81847175795352,316.921,-60.4085,10.04,8.22,11.7555,97.3048,-60.3233,601.4,1,45.4647,136.853,5.01,2,601.385,45.4078,5.01,51.1576,46.1474,0.5129646142971876
0.59,3,405.62313610850833,205.63272293846316,316.926,-60.42,10.52,8.6,12.0281,99.4526,-60.3307,629.7,1,45.4707,136.853,5.25,2,629.689,45.4111,5.25,52.3514,47.1013,0.44533637892149985
0.58,3,433.61249831249006,166.0159414552279,316.928,-60.4268,10.8,8.84,12.1918,100.744,-60.3352,647,1,45.4744,136.853,5.39,2,646.988,45.4132,5.39,53.0674,47.6772,0.3977535577336049
1.31,5,8.709926824085414,173.94773580262762,316.866,-59.7738,5.01,4.1,8.3098,105.806,-60.2297,300,2,45.3825,136.853,2.5,3,300,44.9177,2.5,36.102,33.6019,0.9225262460493703
1.29,5,890.1392713049427,112.5755796980645,316.868,-59.7718,5.21,4.26,8.47431,107.859,-60.2342,312,2,45.3866,136.853,2.6,3,312.021,44.912,2.6,36.8196,34.2196,0.9028409867859737
1.2,5,151.50979997985996,134.50190018218777,316.878,-59.765,5.98,4.89,9.07696,115.37,-60.2505,358.1,2,45.4017,136.853,2.98,3,358.087,44.891,2.98,39.4501,36.4701,0.8288455205009044
1.18,5,525.8937681736425,135.3295378524618,316.881,-59.7635,6.2,5.07,9.2413,117.412,-60.2549,371.2,2,45.4057,136.853,3.09,3,371.199,44.8852,3.09,40.1674,37.0773,0.8112730417298224
1.15,5,537.767660689773,75.21581941488628,316.883,-59.762,6.42,5.25,9.40564,119.454,-60.2594,384.5,2,45.4097,136.853,3.2,3,384.546,44.8793,3.2,40.8846,37.6846,0.7944343545426708
0.71,3,533.8777665121015,110.11121108248918,316.893,-60.3375,7.27,5.95,10.0074,83.3975,-60.2757,435.5,1,45.4242,136.853,3.63,2,435.46,45.3829,3.63,43.5138,39.8837,0.6732085181454527
0.71,3,749.9070614753291,104.11281684087021,316.894,-60.3396,7.35,6.02,10.0621,83.8351,-60.2772,440.2,1,45.4255,136.853,3.67,2,440.246,45.3837,3.67,43.7527,40.0826,0.6740116443672349
0.67,3,772.7791951049585,122.42994753528761,316.904,-60.3636,8.26,6.76,10.6635,88.6418,-60.2935,494.6,1,45.4397,136.853,4.12,2,494.584,45.3928,4.12,46.381,42.2609,0.6654468906303869
0.57,3,743.9351005766075,101.50990451355881,316.933,-60.4384,11.29,9.24,12.4643,102.881,-60.3426,676.3,1,45.4803,136.853,5.64,2,676.325,45.4162,5.64,54.2609,48.6207,0.3052784844988936
0.56,3,111.49100149376318,131.17056506220035,316.934,-60.4408,11.39,9.32,12.5188,103.309,-60.3441,682.3,1,45.4815,136.853,5.69,2,682.27,45.4168,5.69,54.4996,48.8096,0.2878774163602782
0.56,3,801.1162055081222,122.36843254249499,316.936,-60.4478,11.69,9.57,12.6822,104.591,-60.3486,700.3,1,45.485,136.853,5.84,2,700.256,45.4187,5.84,55.2156,49.3755,0.2354142070524884
0.55,3,979.2728984518908,144.27652849361382,316.937,-60.4501,11.8,9.65,12.7367,105.018,-60.3501,706.3,1,45.4862,136.853,5.89,2,706.304,45.4193,5.89,55.4542,49.564,0.2167227442649663
1.24,5,992.7152268108912,159.2243881116337,316.873,-59.7685,5.55,4.54,8.74834,111.276,-60.2415,332.6,2,45.3935,136.853,2.77,3,332.572,44.9025,2.77,38.0155,35.2454,0.8665616375300691
0.75,3,895.3666713142302,160.75545569720677,316.885,-60.3181,6.57,5.38,9.51509,79.4455,-60.2623,393.6,1,45.4123,136.853,3.28,2,393.57,45.375,3.28,41.3627,38.0828,0.6527105028494612
0.75,3,180.81047354545444,127.45450440942768,316.886,-60.3203,6.65,5.44,9.56982,79.8834,-60.2638,398.1,1,45.4136,136.853,3.32,2,398.122,45.3758,3.32,41.6018,38.2817,0.656327459790725
0.74,3,619.882928572828,144.4620688756059,316.888,-60.3245,6.8,5.57,9.67925,80.7693,-60.2667,407.3,1,45.4163,136.853,3.39,2,407.3,45.3778,3.39,42.0797,38.6897,0.6601004196671554
0.72,3,956.876362538198,120.13795963828647,316.891,-60.3331,7.11,5.82,9.89814,82.5214,-60.2727,426,1,45.4215,136.853,3.55,2,425.975,45.381100000000004,3.55,43.0358,39.4857,0.6669337334198734
0.72,3,543.0449463042896,119.84804981181213,316.892,-60.3353,7.19,5.89,9.95275,82.9593,-60.2742,430.7,1,45.4228,136.853,3.59,2,430.703,45.382,3.59,43.2748,39.6847,0.6723649467182569
0.7,3,65.95522302994505,110.0588779139206,316.896,-60.3439,7.51,6.15,10.1716,84.7112,-60.2801,449.9,1,45.428,136.853,3.75,2,449.896,45.3854,3.75,44.2307,40.4806,0.6743717992916314
0.68,3,554.5295034898445,151.14441617668382,316.899,-60.3526,7.84,6.42,10.3903,86.4629,-60.286,469.5,1,45.4332,136.853,3.91,2,469.501,45.3888,3.91,45.1865,41.2764,0.6739288279942454
0.67,3,896.8006038954481,169.1604271518396,316.902,-60.3592,8.09,6.62,10.5542,87.7664,-60.2905,484.5,1,45.437,136.853,4.04,2,484.47,45.3911,4.04,45.9032,41.8632,0.6713788540910326
0.66,3,334.4282920085825,185.82125415876055,316.904,-60.3657,8.34,6.83,10.7182,89.0798,-60.2949,499.7,1,45.4409,136.853,4.16,2,499.68,45.3936,4.16,46.6199,42.4599,0.6628699532568983
0.65,3,737.863806859823,134.04752098520296,316.909,-60.3769,8.78,7.18,10.9912,91.2483,-60.3024,525.5,1,45.4472,136.853,4.38,2,525.537,45.3974,4.38,47.8143,43.4342,0.6465589797022849
0.6,3,832.5843682193663,124.64732168367266,316.921,-60.4084,10.04,8.22,11.7554,97.3049,-60.3232,601.4,1,45.4646,136.853,5.01,2,601.38,45.4077,5.01,51.1577,46.1475,0.5127469805728198
0.6,3,550.1839226749726,186.05323607275844,316.923,-60.4131,10.23,8.37,11.8645,98.1599,-60.3262,612.6,1,45.467,136.853,5.11,2,612.624,45.4089,5.11,51.6352,46.525,0.4847184532212682
0.55,3,991.0176663452294,186.08714048168994,316.94,-60.4571,12.1,9.9,12.9001,106.3,-60.3545,724.6,1,45.4897,136.853,6.04,2,724.6,45.4211,6.04,56.1701,50.1299,0.16229505355137802
1.38,5,124.06590442545712,121.60517728595048,316.859,-59.7787,4.56,3.73,7.92583,101.013,-60.2193,272.9,2,45.3727,136.853,2.27,3,272.867,44.9307,2.27,34.4276,32.1575,0.9725280757134248
1.32,5,442.99051967589185,120.8704542055646,136.865,-59.7746,4.94,4.05,8.25496,105.119,-60.2281,296,2,45.381,136.853,2.47,3,296.047,44.9194,2.47,35.8629,33.3929,0.9297601599318981
1.31,5,764.5612050003838,129.2915216275644,316.866,-59.7737,5.01,4.1,8.30981,105.806,-60.2296,300,2,45.3824,136.853,2.5,3,300.001,44.9176,2.5,36.102,33.6019,0.9224954306547695
1.27,5,900.2564206151292,124.01886174914685,316.87,-59.7705,5.35,4.37,8.58395,109.224,-60.237,320.2,2,45.3893,136.853,2.67,3,320.164,44.9081,2.67,37.298,34.6281,0.8883538993992927
0.74,3,693.0540453570429,188.31745162202702,316.888,-60.3244,6.8,5.57,9.67926,80.7693,-60.2667,407.3,1,45.4162,136.853,3.39,2,407.301,45.3777,3.39,42.0797,38.6897,0.6602448668293464
0.69,3,948.4591786756646,188.01188005600136,316.898,-60.3504,7.76,6.35,10.3357,86.025,-60.2845,464.6,1,45.4319,136.853,3.87,2,464.564,45.3879,3.87,44.9476,41.0775,0.6742485377132282
0.67,3,519.5366964528803,145.54842856145072,316.902,-60.3592,8.09,6.62,10.5543,87.7664,-60.2904,484.5,1,45.437,136.853,4.04,2,484.478,45.391,4.04,45.9032,41.8632,0.6714096694856334
0.65,3,519.4512479251716,99.26757635591832,316.908,-60.3747,8.69,7.11,10.9367,90.8107,-60.3008,520.3,1,45.4458,136.853,4.34,2,520.316,45.3965,4.34,47.5754,43.2354,0.6516531496222226
